job_title,company,location,experience,salary,skills,date_posted,description
Data Analyst,SAMS DIGITAL,Maharashtra,No experience required,Competitive salary,Not Mentioned,Not Mentioned,Not Mentioned
Data Analyst,ALP Consulting Limited,Maharashtra,1 year(s),Competitive salary,Not Mentioned,Not Mentioned,Not Mentioned
Data Analyst,Beinex,Work from home,2 year(s),Competitive salary,Not Mentioned,Not Mentioned,Not Mentioned
Data Analyst,Translink Infrastructure Consultants Private Limited,Indi,No experience required,"₹ 2,40,000 - 3,00,000",Not Mentioned,2 weeks ago,Not Mentioned
Data Analyst,Relevance Lab,Bangalore,No experience required,Competitive salary,Not Mentioned,Not Mentioned,Not Mentioned
Data Analyst,Proof-of-Skill,"Ahmedabad, ,, Chennai, ,, Maharashtra, ,, Haryana, ,, Noida, ,, Nanakramguda, ,, Bangalore",1 year(s),"₹ 6,00,000 - 10,00,000",Not Mentioned,3 weeks ago,Not Mentioned
Data Analyst,PharmaForceIQ,Work from home,No experience required,"₹ 4,00,000 - 4,25,000",Not Mentioned,3 weeks ago,Not Mentioned
Data Analyst,Sunkool Solution,Maharashtra,No experience required,Competitive salary,Not Mentioned,Not Mentioned,Not Mentioned
Data Analyst,CRS Outsourcing PVT.LTD,Delhi,No experience required,Competitive salary,Not Mentioned,Not Mentioned,Not Mentioned
Data Analyst,Sarvotam Solutions,Work from home,No experience required,Competitive salary,Not Mentioned,Not Mentioned,Not Mentioned
Data Scientist,"ARKRAY, Inc.",Maharashtra,2 year(s),Competitive salary,Not Mentioned,Not Mentioned,Not Mentioned
Data Scientist,DataFrontier Innovations Pvt Ltd,Bangalore,2 year(s),Competitive salary,Not Mentioned,Not Mentioned,Not Mentioned
Data Scientist,Hireginie,Bangalore,2 year(s),Competitive salary,Not Mentioned,Not Mentioned,Not Mentioned
Data Scientist,LS Digital Group,Maharashtra,2 year(s),Competitive salary,Not Mentioned,Not Mentioned,Not Mentioned
Data Scientist,XLSCOUT,Mohali,No experience required,Competitive salary,Not Mentioned,Not Mentioned,Not Mentioned
Data Scientist,Protium,Maharashtra,No experience required,Competitive salary,Not Mentioned,Not Mentioned,Not Mentioned
Data Scientist,Augusta Hitech,Coimbatore,5 year(s),Competitive salary,Not Mentioned,3 weeks ago,Not Mentioned
Data Scientist,QuickHyre,Work from home,1 year(s),"₹ 12,00,000 - 33,00,000","Python, SQL, Machine Learning, Data Science, Natural Language Processing (NLP)",Not Mentioned,Not Mentioned
Artificial Intelligence (AI) Trainee,AlphaHAQ Technologies,Indore,1 year(s),"₹ 2,50,000","Python, Machine Learning, Data Science, Artificial intelligence",Not Mentioned,Not Mentioned
Dev & ML Engineer,DetectifAI,Work from home,No experience required,Competitive salary,Not Mentioned,Not Mentioned,Not Mentioned
Junior Gen-AI Engineer,Chitkara University,Work from home,No experience required,Competitive salary,Not Mentioned,Not Mentioned,Not Mentioned
Teacher (Computer Science),Amazeheads LLP,Mumbai,1 year(s),"₹ 2,16,000 - 2,64,000","Java, HTML, CSS, JavaScript, Python, Machine Learning, Arduino",Not Mentioned,Not Mentioned
Artificial Intelligence (AI) Executive,Arkive,Mumbai,1 year(s),"₹ 2,04,000 - 2,70,000","Generative AI Tools, Gemini, AI Video Generation, AI Image Generation, Elevenlabs (GenAI), MidJourney (GenAI)",Not Mentioned,Not Mentioned
Python Developer,KENFRA RESEARCH,Nagercoil,1 year(s),"₹ 3,00,000 - 5,00,000","MATLAB, Python, Machine Learning",1 week ago,Not Mentioned
AI Application Developer,Quantum Global Private Limited,"Bangalore, (Hybrid)",No experience required,"₹ 2,40,000 - 2,60,000","Python, Problem Solving, REST API, OpenAI API, LangChain, Claude, Gemini",Not Mentioned,Not Mentioned
Junior Machine Learning Specialist,Warewe Consultancy Private Limited,Gurgaon,1 year(s),"₹ 3,00,000 - 4,00,000","Python, Django, Machine Learning, Neural Networks, REST API, Golang, Natural Language Processing (NLP)",Not Mentioned,Not Mentioned
Perception Engineer,ARTPARK,Bangalore,1 year(s),"₹ 4,00,000 - 9,00,000","OpenCV, Python, Computer Vision, Deep Learning, TensorFlow, PyTorch, CNN (Convolutional Neural Network)",3 weeks ago,Not Mentioned
AI Developer/Engineer,The Ai Team,"Kolkata, (Hybrid)",1 year(s),"£ 6,000 - 9,500","Python, Node.js, React, REST API, TypeScript, Figma, APIs",Not Mentioned,Not Mentioned
Generative AI Architect (Code Generation),HSL,Bangalore,6 year(s),"₹ 12,00,000 - 24,00,000",Not Mentioned,3 weeks ago,Not Mentioned
Gen AI Engineer,GGS Staffing Private Limited,Work from home,3 year(s),"₹ 12,00,000 - 24,00,000",Not Mentioned,3 weeks ago,Not Mentioned
Artificial Intelligence (AI) Specialist,Tallect,Work from home,No experience required,"₹ 8,00,000 - 11,00,000","JavaScript, Python, Data Structures, Machine Learning, REST API",3 weeks ago,Not Mentioned
Electrical Engineer,After Passout Private Limited,Work from home,No experience required,"₹ 7,00,000 - 8,00,000","AutoCAD, MATLAB, Machine Learning, Circuit Design, Simulink, Machine Learning Operations (MLOps), Electric Vehicle Technology",1 week ago,Not Mentioned
Associate AI Product Engineer,ShortHills Tech Private Limited,Gurgaon,No experience required,"₹ 7,00,000","JavaScript, Python, Problem Solving, Product Management, Rapid Prototyping, Streamlit, Generative AI Tools",2 weeks ago,Not Mentioned
Mechanical Engineer,After Passout Private Limited,Work from home,No experience required,"₹ 6,50,000 - 7,50,000","AutoCAD, MS-Office, SolidWorks, Catia, Machine Learning, ANSYS, Autodesk Fusion 360",1 week ago,Not Mentioned
Machine Learning Associate,Kingstone Info Solution Service Private Limited,Work from home,1 year(s),"₹ 6,35,000 - 12,50,000","Python, Machine Learning, Microsoft Azure, Artificial intelligence, Claude, Gemini, Amazon EC2",3 weeks ago,Not Mentioned
Artificial Intelligence (AI) Specialist,Prijyo Real Estate,Mumbai,1 year(s),"₹ 6,00,000 - 7,50,000","Deep Learning, Artificial intelligence",3 weeks ago,Not Mentioned
Artificial Intelligence (AI) Specialist,Kloudrac Softwares Private Limited,Delhi,1 year(s),"₹ 6,00,000 - 7,00,000","Artificial intelligence, Data Analysis, Data Engineering",Not Mentioned,Not Mentioned
Artificial Intelligence (AI) Associate,"Sorello (London, United Kingdom)",Work from home,1 year(s),"₹ 5,00,000 - 11,00,000",Artificial intelligence,1 week ago,Not Mentioned
AI Engineer,Taxmann,Delhi,1 year(s),"₹ 5,00,000 - 8,00,000",Not Mentioned,3 weeks ago,Not Mentioned
Full Stack Engineer,Wheelson BizAI,Coimbatore,1 year(s),"₹ 4,80,000 - 9,60,000",Not Mentioned,2 weeks ago,Not Mentioned
ROS Engineer,Tech Analogy,Ahmedabad,1 year(s),"₹ 4,20,000 - 4,80,000","Python, Linux, Robotics, Machine Learning, C Programming, TensorFlow, Robotic Process Automation (RPA)",2 weeks ago,Not Mentioned
Associate Data Scientist,Winzonesoftech,Work from home,No experience required,"₹ 4,00,000 - 12,00,000",Data Science,Not Mentioned,Not Mentioned
Python Developer,Avishaan Technologies,"Gurgaon, (Hybrid)",No experience required,"₹ 4,00,000 - 6,20,000","Python, Machine Learning",1 week ago,Not Mentioned
Ai Platform Engineer,Infoware,"Ahmedabad, (Hybrid)",1 year(s),"₹ 4,00,000 - 5,00,000","Python, Machine Learning, FastAPI, Artificial Intelligence Markup Language (AIML), LangChain, LLMOps",Not Mentioned,Not Mentioned
Trainee Engineer,Impressico Business Solutions,"Faridabad, ,, Ghaziabad, ,, Gurgaon, ,, Warangal, ,, Mahbubnagar, ,, Greater Noida, ,, Hyderabad, ,, Sangareddy, ,, Noida, ,, Telangana",No experience required,"₹ 4,00,000","Python, SQL, Algorithms, Data Structures, Git, Django, Docker",3 weeks ago,Not Mentioned
AI Agent Engineers,Tayana Solutions,Work from home,No experience required,"₹ 3,60,000 - 6,00,000",Not Mentioned,3 weeks ago,Not Mentioned
AI Forward Deployed Engineer,Quick Dry Cleaning,Noida,1 year(s),"₹ 3,50,000 - 5,00,000","C#.NET, MS SQL Server, Claude",Not Mentioned,Not Mentioned
Associate Data Scientist,Niti Technologies India Software,Work from home,No experience required,"₹ 3,50,000","Python, SQL, Data Analytics, Machine Learning, Data Science, Deep Learning, Artificial intelligence",1 week ago,Not Mentioned
Data Analytics Manager,Prarang,Noida,1 year(s),"₹ 3,00,000 - 5,00,000","Social Media Marketing, Search Engine Optimization (SEO), Facebook Marketing, Machine Learning, MS-Excel, Data Interpretation, Economics",Not Mentioned,Not Mentioned
Associate Teacher,Itvedant Education Private Limited,Thane,1 year(s),"₹ 3,00,000 - 5,00,000","Python, SQL, Data Analytics, Machine Learning, Teaching, Data Science, English Proficiency (Spoken)",3 weeks ago,Not Mentioned
AI Engineer – Entry Level (LLM & Full Stack),Dattva,Work from home,No experience required,"₹ 3,00,000 - 4,00,000","MySQL, Python, Git, Docker, React, REST API, FastAPI",2 weeks ago,Not Mentioned
Associate Data Scientist,DeepThought CultureTech Ventures Private Limited,Vishakhapatnam,No experience required,"₹ 3,00,000",English Proficiency (Spoken),Not Mentioned,Not Mentioned
Machine Learning Software Platform Engineer,Akshay Paranjape,Work from home,1 year(s),"₹ 3,00,000","Python, Machine Learning, Docker, Computer Vision, Backend development, TypeScript, Machine Learning Operations (MLOps)",2 weeks ago,Not Mentioned
Senior Python Developer,Primetrade.ai,Work from home,1 year(s),"₹ 2,50,000 - 3,20,000","Python, Machine Learning, Data Science, Database Management System (DBMS), Generative AI Tools, AWS CloudFormation",Not Mentioned,Not Mentioned
Artificial Intelligence (AI) Executive Job,NOESiS Pixel Art Private Limited,"Surat, ,, Mumbai",1 year(s),"₹ 2,40,000 - 5,00,000","Looker Studio, Claude, Gemini, Cursor (GenAI)",3 weeks ago,Not Mentioned
AI-native Software Developer Intern,IXG Inc,Hyderabad,No experience required,"₹ 2,40,000 - 4,80,000","Python, MongoDB, PostgreSQL",3 weeks ago,Not Mentioned
Python Developer,Mahesh Nair,Work from home,1 year(s),"₹ 2,40,000 - 3,60,000","Python, Machine Learning",3 weeks ago,Not Mentioned
AI Automation Engineer,Stirring Minds,Delhi,No experience required,"₹ 2,40,000 - 2,60,000","Problem Solving, Automation, REST API, Artificial intelligence, Generative AI Tools, Gemini, LLMOps",1 week ago,Not Mentioned
Artificial Intelligence (AI) Executive,Artzen Technologies,Panchkula,No experience required,"₹ 2,20,000 - 4,40,000","MS-Office, MS-Word, MS-PowerPoint, Report Writing, English Proficiency (Spoken), English Proficiency (Written), Research and Analytics",Not Mentioned,Not Mentioned
